Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-31,109.0018536168,114.00115806665,99.159455396192,105.35262359526,21281349.500379
2015-02-28,106.09845080737,123.30514714545,105.99220953859,121.00812988286,18419382.712298
2015-03-31,121.00812988286,122.59612172877,113.30338702167,119.99973817914,15691519.036868
2015-04-30,119.50679669898,126.4473677222,116.19013336098,126.4473677222,14479069.837357
2015-05-31,122.65365723122,127.16107617312,115.20666461147,115.20666461147,14952025.055448
2015-06-30,115.39188608117,118.73785745428,105.08856049113,106.54276693584,16900030.337128
2015-07-31,107.00015501218,107.45699831948,84.51960732783,95.000418667356,24914407.971503
2015-08-31,93.999133192952,96.799463907111,69.200266430875,78.530307674573,21213418.686052
2015-09-30,77.439571125689,90.490275880312,72.400675519572,81.949822866538,22097876.162717
2015-10-31,83.399889066629,99.999872995808,78.119987642299,89.859760206713,24589135.681295
2015-11-30,90.250359600156,95.960301695592,71.700647317935,72.30109174116,20876028.746455
2015-12-31,73.499801511496,74.180109074301,56.8498077855,63.489343751187,22978771.606908
2016-01-31,60.000424984991,61.099333069303,51.000622726376,57.500153051736,20355199.910755
2016-02-29,57.000490898786,69.829910474028,55.799711006142,67.939344037483,28698022.932373
2016-03-31,68.130449012685,79.299957358054,66.110118593549,76.100637807414,30190009.115136
2016-04-30,75.800470072704,78.119987642299,66.630590923388,74.359664946098,23108364.124554
2016-05-31,74.270322825422,74.510348059384,60.309853793185,60.309853793185,21411326.172977
2016-06-30,59.860092483246,66.19956966803,55.770620340019,66.000075249789,22717940.334987
2016-07-31,65.136320821182,80.649974236765,64.351833882625,78.549969614685,28506466.042989
2016-08-31,79.039380184705,80.239962154337,71.799497393437,73.249266820766,18186114.898351
2016-09-30,74.200447895906,79.069901646333,68.949582593526,74.499686281936,17610878.154412
2016-10-31,74.499686281936,75.490566600872,67.609733115417,71.079148211659,13565137.40314
2016-11-30,70.730179052486,91.000164717358,68.34022054494,87.359893467038,27609765.550722
2016-12-31,88.679359731263,98.769157322442,85.000563139518,92.480455606314,21698426.570236
2017-01-31,92.480455606314,126.49651787228,91.610593949917,123.9021936339,28652956.026535
2017-02-28,125.44854321079,135.99872396792,122.80192695774,128.99799710501,20766219.639142
2017-03-31,131.55176835241,132.39697805903,115.54934467719,115.80333446276,21207819.484671
2017-04-30,117.59406916947,129.49743920437,116.19925971675,123.09753691826,12827055.599059
2017-05-31,123.59697901762,124.24689405718,105.546842735,105.69987691673,16345801.185091
2017-06-30,106.00519825141,114.805517448,105.15059732582,110.64563432123,13529073.672942
2017-07-31,111.20483872308,125.6025953751,107.10365071482,122.29598345057,14951194.51816
2017-08-31,122.6482233005,128.24492313821,117.99823417054,126.09657738686,14087132.267898
2017-09-30,126.55036386019,132.2486103213,112.60462757963,117.40376331271,13697340.213423
2017-10-31,117.79725647839,127.3468701875,114.39967570373,122.95074761605,13296970.572192
2017-11-30,123.1517253082,125.80463084458,105.30331957929,106.79531449917,13509190.657686
2017-12-31,106.99734996865,113.09755181406,99.750094389723,111.20201484389,14691440.003006
2018-01-31,111.40299253604,115.95143504259,106.65463011467,110.05221088933,9994115.8849272
2018-02-28,110.49647736671,112.99706296799,101.04703517049,104.99963170868,10611916.563035
2018-03-31,104.99963170868,106.70434564904,82.240283183224,86.819824343192,15970312.583864
2018-04-30,87.059728240979,97.779666784792,85.200049922196,93.639949437434,13033203.220145
2018-05-31,94.300425600478,98.879860982714,84.640485716158,84.720136348889,13559600.538657
2018-06-30,84.919738930513,98.399735853941,83.619942150967,87.999669173845,12888664.022327
2018-07-31,87.720310181756,97.779666784792,87.720310181756,96.499967774461,12517653.208422
2018-08-31,96.080453286531,96.540269090623,83.0198650733,90.800134647355,11709425.228558
2018-09-30,90.499514330992,93.700348522812,81.699758969073,89.099863371767,15384651.229309
2018-10-31,89.219815320661,91.339601084179,81.099787669139,86.88022342857,11601918.987991
2018-11-30,89.919746578006,97.960123596796,86.839922112407,89.720143996381,11849956.307348
2018-12-31,92.000077247223,94.600093917247,85.800126999863,88.880057243194,9338441.3577005
2019-01-31,87.999669173845,94.900502678145,86.119893085847,94.160270104637,10932760.442323
2019-02-28,93.839552019059,103.24551956714,92.500405922944,101.29910350754,15365547.712965
2019-03-31,101.95460811714,107.8033762919,98.519793580568,106.99734996865,12505489.033233
2019-04-30,107.99589176544,112.50308095623,102.29743374886,102.85213217919,8764983.8430451
2019-05-31,100.75455973954,102.04536541181,91.499960126968,95.000251080091,10990823.629246
2019-06-30,95.000251080091,105.89726154846,92.519445914832,103.49758790419,9280077.7105937
2019-07-31,105.50429727144,106.70434564904,93.200231402557,94.400279780157,11657207.628392
2019-08-31,94.260124284316,94.260124284316,72.399780709166,78.320477742171,15418849.151354
2019-09-30,78.400128374902,84.439825357206,73.219769693138,79.999487693484,13629057.41376
2019-10-31,79.38037062393,86.900321197785,73.500080684821,83.640039920182,11826812.940207
2019-11-30,85.320213426555,96.939580031605,85.120505067198,89.899543031058,12904949.360969
2019-12-31,90.000454988064,98.779901025303,86.640319530782,95.58012461081,9375257.1506585
2020-01-31,96.560366859838,101.55117184458,90.720378236892,91.200503365665,11671296.533672
2020-02-29,91.800474665599,99.260026154076,69.999789731698,70.540313945848,12225801.257884
2020-03-31,74.000303582809,78.980001905621,48.010503100374,59.820481179768,27187780.37069
2020-04-30,58.999540196202,79.299767991605,57.219618287882,76.980379646461,17157130.312252
2020-05-31,74.99979737919,88.859853696247,71.059682613457,86.280146350903,13615120.225998
